id;employee_id;effective_date;pf;prof_tax;income_tax;lop
1;deposit Station;54561;82063;94146;62593;38610
2;Branding Dynamic black;6936;21458;10077;37725;1822
3;Generic;68300;33655;7118;65572;31897
4;quantifying Garden;81446;26069;28185;49603;11816
5;Rupiah Personal Loan Account HTTP;73507;41794;80348;96758;28203
6;Table quantify;80683;57592;99050;73164;41261
7;incentivize;77641;58054;34080;86711;93075
8;SSL bandwidth;75087;73990;75454;23823;10312
9;Global Berkshire;82645;38961;32004;29763;89552
10;streamline;1083;95854;90538;84714;9128
