id;effective_date;basic;hra;conveyance;leave_encash;special_allowance;reimbursement
1;2761;37558;57886;9398;43847;57828;67202
2;3594;32815;46559;15504;54264;98184;28654
3;83893;59083;86040;3050;25025;3734;3883
4;82260;30326;36019;53708;12706;32665;52224
5;82786;76999;27154;21582;96525;62289;45726
6;8534;84202;5168;19438;53135;41135;54063
7;69951;63742;13835;72609;13274;97585;96953
8;51630;71459;32295;4106;79518;39882;27083
9;43352;43897;74404;7845;25086;2535;18433
10;96264;8087;83598;42831;69597;68849;40895
