id;employee_id;month;year;no_of_working_days;no_of_leavs;no_of_lop;no_of_arear_days
1;63509;88668;4530;26089;37461;1530;62585
2;93343;50313;50103;85648;53937;65869;68396
3;16293;61585;7056;94389;64241;94425;2651
4;86719;58577;63640;94023;80094;57547;67716
5;38816;57336;64328;12850;45825;81120;54561
6;82063;94146;62593;38610;82042;96119;65148
7;90535;20668;19579;27396;6936;21458;10077
8;37725;1822;3896;9444;61825;68300;33655
9;7118;65572;31897;38539;84487;68161;2327
10;34062;81446;26069;28185;49603;11816;69289
